Time_Index,onshore_wind,solar_pv_sat,solar_btm,solar_btm_curt,hydro,battery4,battery8,pumped_hydro_long,pumped_hydro_short,geothermal
135,0.358361157,0.674720929,0.718833722,0.718833722,0.173537915,1.0,1.0,1.0,1.0,1.0
136,0.353050003,0.672450973,0.722728318,0.722728318,0.173263873,1.0,1.0,1.0,1.0,1.0
137,0.347738849,0.670181017,0.726622915,0.726622915,0.172989831,1.0,1.0,1.0,1.0,1.0
138,0.342427695,0.667911062,0.730517512,0.730517512,0.172715789,1.0,1.0,1.0,1.0,1.0
139,0.33711654,0.665641106,0.734412109,0.734412109,0.172441747,1.0,1.0,1.0,1.0,1.0
140,0.331805386,0.661589527,0.735074004,0.735074004,0.172167705,1.0,1.0,1.0,1.0,1.0
141,0.326494232,0.657537948,0.7357359,0.7357359,0.171893663,1.0,1.0,1.0,1.0,1.0
142,0.321183078,0.653486369,0.736397795,0.736397795,0.171619621,1.0,1.0,1.0,1.0,1.0
143,0.315871924,0.649434789,0.737059691,0.737059691,0.171345579,1.0,1.0,1.0,1.0,1.0
144,0.310560769,0.64538321,0.737721586,0.737721586,0.171071537,1.0,1.0,1.0,1.0,1.0
145,0.305249615,0.641331631,0.738383482,0.738383482,0.170797495,1.0,1.0,1.0,1.0,1.0
146,0.305877256,0.642804839,0.736386734,0.736386734,0.170892842,1.0,1.0,1.0,1.0,1.0
147,0.306504897,0.644278048,0.734389987,0.734389987,0.170988189,1.0,1.0,1.0,1.0,1.0
148,0.307132538,0.645751256,0.732393239,0.732393239,0.171083537,1.0,1.0,1.0,1.0,1.0
149,0.307760179,0.647224464,0.730396491,0.730396491,0.171178884,1.0,1.0,1.0,1.0,1.0
150,0.30838782,0.648697673,0.728399744,0.728399744,0.171274231,1.0,1.0,1.0,1.0,1.0
151,0.309015461,0.650170881,0.726402996,0.726402996,0.171369578,1.0,1.0,1.0,1.0,1.0
152,0.309643102,0.655834221,0.721400298,0.721400298,0.171464925,1.0,1.0,1.0,1.0,1.0
153,0.310270743,0.661497562,0.7163976,0.7163976,0.171560273,1.0,1.0,1.0,1.0,1.0
154,0.310898384,0.667160902,0.711394902,0.711394902,0.17165562,1.0,1.0,1.0,1.0,1.0
155,0.311526025,0.672824242,0.706392204,0.706392204,0.171750967,1.0,1.0,1.0,1.0,1.0
156,0.312153666,0.678487583,0.701389507,0.701389507,0.171846314,1.0,1.0,1.0,1.0,1.0
157,0.312781307,0.684150923,0.696386809,0.696386809,0.171941661,1.0,1.0,1.0,1.0,1.0
158,0.310874461,0.687204116,0.688828038,0.688828038,0.17266914,1.0,1.0,1.0,1.0,1.0
159,0.308967614,0.690257308,0.681269267,0.681269267,0.173396618,1.0,1.0,1.0,1.0,1.0
160,0.307060768,0.693310501,0.673710496,0.673710496,0.174124095,1.0,1.0,1.0,1.0,1.0
161,0.305153921,0.696363693,0.666151725,0.666151725,0.174851573,1.0,1.0,1.0,1.0,1.0
162,0.303247075,0.699416886,0.658592954,0.658592954,0.175579051,1.0,1.0,1.0,1.0,1.0
163,0.301340229,0.702470078,0.651034183,0.651034183,0.17630653,1.0,1.0,1.0,1.0,1.0
164,0.299433382,0.70529585,0.640629475,0.640629475,0.177034007,1.0,1.0,1.0,1.0,1.0
165,0.297526536,0.708121622,0.630224767,0.630224767,0.177761485,1.0,1.0,1.0,1.0,1.0
166,0.295619689,0.710947395,0.619820058,0.619820058,0.178488963,1.0,1.0,1.0,1.0,1.0
167,0.293712843,0.713773167,0.60941535,0.60941535,0.179216441,1.0,1.0,1.0,1.0,1.0
168,0.291805996,0.716598939,0.599010642,0.599010642,0.179943918,1.0,1.0,1.0,1.0,1.0
169,0.28989915,0.719424711,0.588605934,0.588605934,0.180671397,1.0,1.0,1.0,1.0,1.0
170,0.294585299,0.714587,0.576116604,0.576116604,0.185277094,1.0,1.0,1.0,1.0,1.0
171,0.299271447,0.709749289,0.563627273,0.563627273,0.189882793,1.0,1.0,1.0,1.0,1.0
172,0.303957596,0.704911578,0.551137943,0.551137943,0.194488491,1.0,1.0,1.0,1.0,1.0
173,0.308643744,0.700073866,0.538648612,0.538648612,0.199094189,1.0,1.0,1.0,1.0,1.0
174,0.313329893,0.695236155,0.526159282,0.526159282,0.203699887,1.0,1.0,1.0,1.0,1.0
175,0.318016041,0.690398444,0.513669951,0.513669951,0.208305585,1.0,1.0,1.0,1.0,1.0
176,0.32270219,0.685873371,0.498355007,0.498355007,0.212911283,1.0,1.0,1.0,1.0,1.0
177,0.327388338,0.681348299,0.483040063,0.483040063,0.217516981,1.0,1.0,1.0,1.0,1.0
178,0.332074487,0.676823227,0.467725119,0.467725119,0.222122679,1.0,1.0,1.0,1.0,1.0
179,0.336760635,0.672298154,0.452410174,0.452410174,0.226728377,1.0,1.0,1.0,1.0,1.0
180,0.341446784,0.667773082,0.43709523,0.43709523,0.231334076,1.0,1.0,1.0,1.0,1.0
181,0.346132932,0.663248009,0.421780286,0.421780286,0.235939773,1.0,1.0,1.0,1.0,1.0
182,0.349932519,0.657692724,0.403958704,0.403958704,0.247727713,1.0,1.0,1.0,1.0,1.0
183,0.353732106,0.652137439,0.386137122,0.386137122,0.259515653,1.0,1.0,1.0,1.0,1.0
184,0.357531693,0.646582154,0.36831554,0.36831554,0.271303593,1.0,1.0,1.0,1.0,1.0
185,0.361331279,0.641026868,0.350493959,0.350493959,0.283091533,1.0,1.0,1.0,1.0,1.0
186,0.365130866,0.635471583,0.332672376,0.332672376,0.294879472,1.0,1.0,1.0,1.0,1.0
187,0.368930453,0.629916298,0.314850795,0.314850795,0.306667413,1.0,1.0,1.0,1.0,1.0
188,0.37273004,0.590838828,0.295230694,0.295230694,0.318455352,1.0,1.0,1.0,1.0,1.0
189,0.376529627,0.551761359,0.275610594,0.275610594,0.330243292,1.0,1.0,1.0,1.0,1.0
190,0.380329214,0.512683889,0.255990494,0.255990494,0.342031232,1.0,1.0,1.0,1.0,1.0
191,0.3841288,0.473606419,0.236370394,0.236370394,0.353819172,1.0,1.0,1.0,1.0,1.0
192,0.387928387,0.43452895,0.216750294,0.216750294,0.365607112,1.0,1.0,1.0,1.0,1.0
193,0.391727974,0.39545148,0.197130193,0.197130193,0.377395052,1.0,1.0,1.0,1.0,1.0
194,0.404696018,0.343750957,0.172747377,0.172747377,0.386756184,1.0,1.0,1.0,1.0,1.0
195,0.417664062,0.292050433,0.148364561,0.148364561,0.396117315,1.0,1.0,1.0,1.0,1.0
196,0.430632106,0.24034991,0.123981745,0.123981745,0.405478448,1.0,1.0,1.0,1.0,1.0
197,0.443600149,0.188649387,0.099598929,0.099598929,0.41483958,1.0,1.0,1.0,1.0,1.0
198,0.456568193,0.136948863,0.075216113,0.075216113,0.424200711,1.0,1.0,1.0,1.0,1.0
199,0.469536237,0.08524834,0.050833297,0.050833297,0.433561844,1.0,1.0,1.0,1.0,1.0
200,0.482504281,0.071040283,0.042361081,0.042361081,0.442922976,1.0,1.0,1.0,1.0,1.0
201,0.495472325,0.056832227,0.033888865,0.033888865,0.452284108,1.0,1.0,1.0,1.0,1.0
202,0.508440369,0.04262417,0.025416648,0.025416648,0.461645239,1.0,1.0,1.0,1.0,1.0
203,0.521408412,0.028416113,0.016944432,0.016944432,0.471006372,1.0,1.0,1.0,1.0,1.0
204,0.534376456,0.014208057,0.008472216,0.008472216,0.480367503,1.0,1.0,1.0,1.0,1.0
205,0.5473445,0.0,0.0,0.0,0.489728635,1.0,1.0,1.0,1.0,1.0
206,0.55864116,0.0,0.0,0.0,0.490953455,1.0,1.0,1.0,1.0,1.0
207,0.56993782,0.0,0.0,0.0,0.492178275,1.0,1.0,1.0,1.0,1.0
208,0.581234479,0.0,0.0,0.0,0.493403095,1.0,1.0,1.0,1.0,1.0
209,0.592531139,0.0,0.0,0.0,0.494627914,1.0,1.0,1.0,1.0,1.0
210,0.603827799,0.0,0.0,0.0,0.495852734,1.0,1.0,1.0,1.0,1.0
211,0.615124459,0.0,0.0,0.0,0.497077554,1.0,1.0,1.0,1.0,1.0
212,0.626421118,0.0,0.0,0.0,0.498302374,1.0,1.0,1.0,1.0,1.0
213,0.637717778,0.0,0.0,0.0,0.499527193,1.0,1.0,1.0,1.0,1.0
214,0.649014438,0.0,0.0,0.0,0.500752013,1.0,1.0,1.0,1.0,1.0
215,0.660311098,0.0,0.0,0.0,0.501976833,1.0,1.0,1.0,1.0,1.0
216,0.671607757,0.0,0.0,0.0,0.503201653,1.0,1.0,1.0,1.0,1.0
217,0.682904417,0.0,0.0,0.0,0.504426472,1.0,1.0,1.0,1.0,1.0
218,0.678719885,0.0,0.0,0.0,0.501820688,1.0,1.0,1.0,1.0,1.0
219,0.674535354,0.0,0.0,0.0,0.499214905,1.0,1.0,1.0,1.0,1.0
220,0.670350822,0.0,0.0,0.0,0.49660912,1.0,1.0,1.0,1.0,1.0
221,0.66616629,0.0,0.0,0.0,0.494003336,1.0,1.0,1.0,1.0,1.0
222,0.661981758,0.0,0.0,0.0,0.491397552,1.0,1.0,1.0,1.0,1.0
223,0.657797227,0.0,0.0,0.0,0.488791769,1.0,1.0,1.0,1.0,1.0
224,0.653612695,0.0,0.0,0.0,0.486185985,1.0,1.0,1.0,1.0,1.0
225,0.649428163,0.0,0.0,0.0,0.483580201,1.0,1.0,1.0,1.0,1.0
226,0.645243631,0.0,0.0,0.0,0.480974417,1.0,1.0,1.0,1.0,1.0
227,0.6410591,0.0,0.0,0.0,0.478368633,1.0,1.0,1.0,1.0,1.0
228,0.636874568,0.0,0.0,0.0,0.475762849,1.0,1.0,1.0,1.0,1.0
229,0.632690036,0.0,0.0,0.0,0.473157065,1.0,1.0,1.0,1.0,1.0
230,0.623066466,0.0,0.0,0.0,0.469840035,1.0,1.0,1.0,1.0,1.0
231,0.613442895,0.0,0.0,0.0,0.466523005,1.0,1.0,1.0,1.0,1.0
232,0.603819325,0.0,0.0,0.0,0.463205975,1.0,1.0,1.0,1.0,1.0
233,0.594195754,0.0,0.0,0.0,0.459888945,1.0,1.0,1.0,1.0,1.0
234,0.584572184,0.0,0.0,0.0,0.456571915,1.0,1.0,1.0,1.0,1.0
235,0.574948613,0.0,0.0,0.0,0.453254885,1.0,1.0,1.0,1.0,1.0
236,0.565325043,0.0,0.0,0.0,0.449937855,1.0,1.0,1.0,1.0,1.0
237,0.555701473,0.0,0.0,0.0,0.446620826,1.0,1.0,1.0,1.0,1.0
238,0.546077902,0.0,0.0,0.0,0.443303795,1.0,1.0,1.0,1.0,1.0
239,0.536454332,0.0,0.0,0.0,0.439986765,1.0,1.0,1.0,1.0,1.0
240,0.526830761,0.0,0.0,0.0,0.436669735,1.0,1.0,1.0,1.0,1.0
241,0.517207191,0.0,0.0,0.0,0.433352705,1.0,1.0,1.0,1.0,1.0
242,0.514359374,0.0,0.0,0.0,0.427718898,1.0,1.0,1.0,1.0,1.0
243,0.511511557,0.0,0.0,0.0,0.42208509,1.0,1.0,1.0,1.0,1.0
244,0.50866374,0.0,0.0,0.0,0.416451282,1.0,1.0,1.0,1.0,1.0
245,0.505815923,0.0,0.0,0.0,0.410817475,1.0,1.0,1.0,1.0,1.0
246,0.502968106,0.0,0.0,0.0,0.405183667,1.0,1.0,1.0,1.0,1.0
247,0.500120289,0.0,0.0,0.0,0.39954986,1.0,1.0,1.0,1.0,1.0
248,0.497272471,0.0,0.0,0.0,0.393916052,1.0,1.0,1.0,1.0,1.0
249,0.494424654,0.0,0.0,0.0,0.388282244,1.0,1.0,1.0,1.0,1.0
250,0.491576837,0.0,0.0,0.0,0.382648437,1.0,1.0,1.0,1.0,1.0
251,0.48872902,0.0,0.0,0.0,0.377014629,1.0,1.0,1.0,1.0,1.0
252,0.485881203,0.0,0.0,0.0,0.371380821,1.0,1.0,1.0,1.0,1.0
253,0.483,0.0,0.0,0.0,0.365747014,1.0,1.0,1.0,1.0,1.0
254,0.481516548,0.0,0.0,0.0,0.360489002,1.0,1.0,1.0,1.0,1.0
255,0.47999971,0.0,0.0,0.0,0.35523099,1.0,1.0,1.0,1.0,1.0
256,0.478482873,0.0,0.0,0.0,0.349972978,1.0,1.0,1.0,1.0,1.0
257,0.476966035,0.0,0.0,0.0,0.344714966,1.0,1.0,1.0,1.0,1.0
258,0.475449197,0.0,0.0,0.0,0.339456954,1.0,1.0,1.0,1.0,1.0
259,0.473932359,0.0,0.0,0.0,0.334198943,1.0,1.0,1.0,1.0,1.0
260,0.472415521,0.0,0.0,0.0,0.328940931,1.0,1.0,1.0,1.0,1.0
261,0.470898683,0.0,0.0,0.0,0.323682919,1.0,1.0,1.0,1.0,1.0
262,0.469381846,0.0,0.0,0.0,0.318424907,1.0,1.0,1.0,1.0,1.0
263,0.467865008,0.0,0.0,0.0,0.313166896,1.0,1.0,1.0,1.0,1.0
264,0.46634817,0.0,0.0,0.0,0.307908883,1.0,1.0,1.0,1.0,1.0
265,0.464831332,0.0,0.0,0.0,0.302650872,1.0,1.0,1.0,1.0,1.0
266,0.469444883,0.0,0.0,0.0,0.299158732,1.0,1.0,1.0,1.0,1.0
267,0.474058435,0.0,0.0,0.0,0.295666591,1.0,1.0,1.0,1.0,1.0
268,0.478671987,0.0,0.0,0.0,0.292174451,1.0,1.0,1.0,1.0,1.0
269,0.483285538,0.0,0.0,0.0,0.288682311,1.0,1.0,1.0,1.0,1.0
270,0.48789909,0.0,0.0,0.0,0.28519017,1.0,1.0,1.0,1.0,1.0
271,0.492512641,0.0,0.0,0.0,0.28169803,1.0,1.0,1.0,1.0,1.0
272,0.497126193,0.0,0.0,0.0,0.27820589,1.0,1.0,1.0,1.0,1.0
273,0.501739744,0.0,0.0,0.0,0.27471375,1.0,1.0,1.0,1.0,1.0
274,0.506353296,0.0,0.0,0.0,0.27122161,1.0,1.0,1.0,1.0,1.0
275,0.510966847,0.0,0.0,0.0,0.267729469,1.0,1.0,1.0,1.0,1.0
276,0.515580399,0.0,0.0,0.0,0.264237329,1.0,1.0,1.0,1.0,1.0
277,0.52019395,0.0,0.0,0.0,0.260745189,1.0,1.0,1.0,1.0,1.0
278,0.511902186,0.0,0.0,0.0,0.258876681,1.0,1.0,1.0,1.0,1.0
279,0.503610421,0.0,0.0,0.0,0.257008173,1.0,1.0,1.0,1.0,1.0
280,0.495318657,0.0,0.0,0.0,0.255139665,1.0,1.0,1.0,1.0,1.0
281,0.487026892,0.0,0.0,0.0,0.253271158,1.0,1.0,1.0,1.0,1.0
282,0.478735128,0.0,0.0,0.0,0.25140265,1.0,1.0,1.0,1.0,1.0
283,0.470443364,0.0,0.0,0.0,0.249534142,1.0,1.0,1.0,1.0,1.0
284,0.462151599,0.0,0.0,0.0,0.247665634,1.0,1.0,1.0,1.0,1.0
285,0.453859835,0.0,0.0,0.0,0.245797126,1.0,1.0,1.0,1.0,1.0
